제목,구분,카테고리,지역,연령,성별
"1인가구 생필품비 지원 프로그램 “일상, 선물”_3월",프로그램,기타,광진구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[마감] 2024 1인가구 자조모임 취향공존,프로그램,기타,영등포구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[서대문구] zoom 1n 참여자 모집,프로그램,기타,서대문구,"20,30","남성,여성"
1인가구 요리체험 프로그램,프로그램,외로움,광진구,"20,30","남성,여성"
[마감]5월 가정의 달 맞이 요리활동(베이커리) 참여자 모집,프로그램,기타,강동구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
★개인신청★ 사회적관계망 프로그램 ‘1인가구 하고 싶은 거 다 해’,프로그램,기타,노원구,"20,30,40,50,60,70,80,90,100","남성,여성"
★단체신청★ 사회적관계망 프로그램 ‘1인가구 하고 싶은 거 다 해’,프로그램,기타,노원구,"20,30,40,50,60,70,80,90,100","남성,여성"
<모집종료>[동대문구] 1인가구 관계증진 프로그램 '슬기로운 1인생활_앙금떡케이크',프로그램,기타,동대문구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
'따로 또 같이' 신청자 모집,프로그램,기타,강북구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
1인가구 프로그램 '나에게 남기는 메시지' 참여자 모집 [모집마감],프로그램,기타,강서구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
동일이의 관계이음,프로그램,기타,동대문구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[서대문구] 유튜브 채널 복세편살 안내,프로그램,기타,서대문구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[금천구] 적응지원 [존중과 행복이 가득한 삶],프로그램,외로움,금천구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
<서울중구> 중장년 1인가구 소셜다이닝 '행복한 밥상' 2기 모집,프로그램,질병,중구,"40,50","남성,여성"
[모집 완료][송파구] 1인가구 김장 나눔 사업 '김장 나눔 마음 나눔',프로그램,주거,송파구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
1인가구 생활밀착형 프로그램 '나 혼자 산다',프로그램,기타,강서구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
청바지&에코백 새활용 프로그램 참여자 모집(저녁반),프로그램,기타,성동구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[멤버십데이] 1인가구 소극장,행사,외로움,강남구,"20,30,40,50,60,70,80,90,100","남성,여성"
동일이의 4생활 반려식물편,프로그램,기타,동대문구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[암사1동] 찾아가는 사랑의 장바구니 나눔 사업,프로그램,기타,강동구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[영등포구]1인가구 개인상담,상담,외로움,영등포구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[광진구] 1인가구 재무관리 프로그램 '홀로노믹스',프로그램,경제/일자리,광진구,"20,30","남성,여성"
[관악구] 나의면역가드너 참여자모집,프로그램,기타,관악구,"20,30,40,50,60,70,80,90,100","남성,여성"
강동구1인가구지원센터 공구도서관,프로그램,기타,강동구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
내 집에서 힐링하기(K-pop 댄스편) 참여자 모집 (모집종료),프로그램,외로움,마포구,"20,30","남성,여성"
[구로구] '금요일에 만나요' 5월 특강(모집완료),프로그램,기타,구로구,"0,10,20,20,30,40,50","남성,여성"
동일이의 독립 스텝업,프로그램,기타,동대문구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
<모집 종료> 이혼?사별 여성 1인가구 '집꾸 프로젝트': 마크라메 다용도걸이 만들기,프로그램,기타,용산구,"0,10,20,20,30,40,50,60,70,80,90,100",여성
[금천구] Find Fine Me,프로그램,외로움,금천구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
뿌꾸 명상 동아리원 모집,소모임,기타,강북구,"40,50,60,70,80,90,100","남성,여성"
2023 1인가구 심리상담 접수,프로그램,질병,관악구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
1인가구 사회적 관계망 지원 ‘삼삼오오(동아리)’ 모집,소모임,외로움,성북구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[동대문구] 중장년 1인가구 경제교육 '탄탄대로 프로젝트_경제편',프로그램,경제/일자리,동대문구,"40,50,60,70,80,90,100","남성,여성"
중장년 사회적관계망 프로그램 <함께라면 행복할지도>,소모임,기타,노원구,"40,50,60,70,80,90,100","남성,여성"
중장년 1인가구 상반기 놀러가장 참여자 모집,프로그램,기타,성동구,"40,50","남성,여성"
[종로구] 6월 1인가구 여가지원 '취미샘플러: 인센스 스틱' 참여자 모집 안내,프로그램,기타,종로구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[마포구]마이 라이프 밸런스(정리수납편) 참여자 모집(모집마감),프로그램,주거,마포구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
자기돌봄역량강화,프로그램,외로움,광진구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
삼시세끼 요리왕(중장년 1인가구 요리프로그램),프로그램,기타,성북구,"40,50","남성,여성"
(모집완료)[중랑구] 1인가구지원사업 교육 및 공예활동 (6월),프로그램,기타,중랑구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
"[동대문구] 2022 1인가구 안심장비지원사업'지켜줘,홈즈!' 대상자 모집",프로그램,안전,동대문구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
솔로NOT홀로 '1인가구 심리상담',상담,기타,금천구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
2024년 서초구 상담멘토링 멘티 모집,프로그램,외로움,서초구,"0,10,20,20,30,40,50","남성,여성"
싱글포유 2월 - 담금주 만들기,프로그램,기타,양천구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[금천구] 다시 찾아온! 랜선으로 만나는 친정라이프,프로그램,기타,금천구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[마감]강동싱글 서포터즈 참여자 모집,프로그램,기타,강동구,"20,30","남성,여성"
2023 동작구 1인가구 '관계의 발견' 집단상담,상담,외로움,동작구,"20,30","남성,여성"
동일이의 동네친구,소모임,기타,동대문구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[마음건강]마음안심버스를 운행합니다!,행사,기타,강남구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
마포구 이사지원 사업 <마포손길> 참여자 모집,프로그램,주거,마포구,"20,30","남성,여성"
1인 가구 걷기 프로젝트: 워킹 플레저(워크온) 참여자 모집,프로그램,기타,성동구,"20,30,40,50,60,70,80,90,100","남성,여성"
[고덕1동] 플로깅 데이,프로그램,질병,강동구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[암사1동] 1인가구 고독사 예방을 위한 이웃 이음 사업,프로그램,기타,강동구,"40,50,60,70,80,90,100","남성,여성"
[양천구] 1인가구 상담,상담,기타,양천구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
안전교육 프로그램 '자기방어훈련',프로그램,안전,도봉구,"0,10,20,20,30,40,50,60,70,80,90,100",여성
마포1家_정리수납편 2차 참여자모집(모집종료),프로그램,주거,마포구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[암사1동] 우리동네 화수분,프로그램,기타,강동구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[동작구] 동작 인생나눔터 (중장년층 관계형성+사회공헌 프로그램),프로그램,기타,동작구,"40,50,60,70,80,90,100","남성,여성"
[동작구] 2022년 1인가구 관계향상 프로그램 '너나울' 참여자 모집,프로그램,기타,동작구,"20,30","남성,여성"
(화원종합사회복지관) 2024 중장년 일상친구 모집,프로그램,외로움,구로구,"40,50,60,70,80,90,100","남성,여성"
[노원구] 나만의 펜트하우스,프로그램,기타,노원구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
"[양천구] 1인가구 사회적 관계망 지원 '홀로그램' 참여자 추가모집(개인5명, 그룹1팀)",소모임,외로움,양천구,"20,30,40,50","남성,여성"
1인가구 상담 '마음더함 상담실',상담,기타,도봉구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[진행중] 강동구1인가구지원센터 우리집넓히기 사업 참여자 모집,프로그램,주거,강동구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[동대문구] 청년(2030) 1인가구 다이어트&체력증진 '동일이의 득근득근',프로그램,질병,동대문구,"20,30","남성,여성"
"자기개발 프로그램 ' 솔직히, 퍼스널브랜딩은요..'",프로그램,경제/일자리,송파구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
2023년 1인가구 사회적 관계망 모임 '원더랜드' 참여자 모집,프로그램,기타,동작구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
2024년 중장년 1인가구 자조모임 '먹을지도' 개인 참여자 모집!,행사,외로움,중랑구,"40,50,60,70,80,90,100","남성,여성"
중장년 1인가구 소셜다이닝 행복한밥상-1기 '봄의 맛을 찾아서' 모집,프로그램,기타,강서구,"40,50,60,70,80,90,100","남성,여성"
1인가구 자기돌봄 소셜다이닝 <혼자서도 잘 먹어요> 10월 저당밥상,프로그램,질병,강남구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[서대문구] 오늘 뭐 먹지? 프로그램 참여자 모집(모집마감),프로그램,기타,서대문구,"0,10,20,20,30,40,50","남성,여성"
"[모집완료] 1인가구 자조 모임 '요.맘.때, G' 모집",소모임,기타,구로구,"40,50","남성,여성"
1인가구 사회적관계망(동아리) 모집 안내,소모임,외로움,은평구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
STAY.G와 강남경찰서가 함께하는 10월 멤버십데이 <1인가구 안전한 혼삶>,프로그램,안전,강남구,"20,30,40,50,60,70,80,90,100","남성,여성"
1인가구 자기돌봄 소모임 <앉아서 세계 속으로> 호주 퀸즐랜드주 편,소모임,기타,강남구,"20,30,40,50,60,70,80,90,100","남성,여성"
[동대문구] 청년 1인가구 경제특강 '동일이의 돈기부여',프로그램,경제/일자리,동대문구,"20,30","남성,여성"
나비남 요리조리 건강밥상,프로그램,질병,양천구,"40,50,60,70,80,90,100",남성
사회적 관계망 2024 광진구1인가구 동아리 모집,프로그램,외로움,광진구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
